PROPERTY_NUM,TRANSACTION_AMOUNT,YEAR_BUILT,ADDRESS,REGISTRATION_DATE,ROAD_NAME,APARTMENT_NAME,SQUARE_FOOTAGE,FLOOR_NUMBER
1,150000000,2012,서울특별시 광진구  중곡동 699 ,2024-07-02,용마산로1길,욱현하이브Ⅲ,17.71,3
2,795000000,1999,서울특별시 광진구  중곡동 292 ,2024-07-11,용마산로,에스케이,84.6,16
3,1465000000,1996,서울특별시 광진구  구의동 611 ,2024-07-01,광나루로56길,구의현대2단지,84.75,25
4,1145000000,1997,서울특별시 광진구  구의동 631-1 ,2024-07-01,광나루로56길,현대프라임,59.82,16
5,1480000000,1996,서울특별시 광진구  구의동 611 ,2024-07-01,광나루로56길,구의현대2단지,84.91,6
6,620000000,2020,서울특별시 광진구  구의동 670 ,2024-07-03,구의로16길,광진파크프라이빗,58.63,7
7,1100000000,1997,서울특별시 광진구  구의동 631-1 ,2024-07-06,광나루로56길,현대프라임,59.82,7
8,1120000000,1999,서울특별시 광진구  광장동 576 ,2024-07-02,아차산로69길,광장현대9단지,59.97,4
9,1095000000,1999,서울특별시 광진구  광장동 576 ,2024-07-02,아차산로69길,광장현대9단지,59.97,14
10,1641000000,1989,서울특별시 광진구  광장동 218-1 ,2024-07-03,아차산로,극동2,84.55,5
11,2390000000,2012,서울특별시 광진구  광장동 582 ,2024-07-03,아차산로,광장힐스테이트,130.17,20
12,1190000000,1990,서울특별시 광진구  광장동 484 ,2024-07-03,아차산로70길,현대3,74.92,21
13,1010000000,1996,서울특별시 광진구  광장동 566 ,2024-07-03,아차산로,청구,59.95,16
14,1300000000,1996,서울특별시 광진구  광장동 566 ,2024-07-03,아차산로,청구,84.86,9
15,1190000000,2000,서울특별시 광진구  광장동 577 ,2024-07-05,아차산로,현대파크빌,59.55,2
16,1440000000,2000,서울특별시 광진구  광장동 577 ,2024-07-06,아차산로,현대파크빌,84.81,3
17,1940000000,2012,서울특별시 광진구  광장동 582 ,2024-07-06,아차산로,광장힐스테이트,84.9,5
18,1390000000,1996,서울특별시 광진구  광장동 569 ,2024-07-06,아차산로,현대8(803동),84.95,4
19,1650000000,1987,서울특별시 광진구  광장동 561 ,2024-07-06,아차산로70길,삼성광장1,79.53,11
20,1180000000,2000,서울특별시 광진구  광장동 577 ,2024-07-08,아차산로,현대파크빌,59.76,2
21,1278000000,1996,서울특별시 광진구  광장동 566 ,2024-07-10,아차산로,청구,84.86,9
22,1630000000,2012,서울특별시 광진구  광장동 582 ,2024-07-10,아차산로,광장힐스테이트,59.99,9
23,1405000000,1996,서울특별시 광진구  광장동 569 ,2024-07-10,아차산로,현대8(803동),84.95,7
24,1615000000,1989,서울특별시 광진구  광장동 554-7 ,2024-07-13,아차산로70길,현대5,84.53,8
25,975000000,1997,서울특별시 광진구  자양동 831-1 ,2024-07-01,능동로3길,한강성원,59.46,5
26,1380000000,2002,서울특별시 광진구  자양동 789 ,2024-07-01,뚝섬로36길,자양8차현대홈타운,80.47,5
27,1350000000,1993,서울특별시 광진구  자양동 87-1 ,2024-07-01,능동로1길,한강우성,84.72,5
28,950000000,1988,서울특별시 광진구  자양동 579 ,2024-07-02,뚝섬로41길,우성1,59.91,8
29,2400000000,2007,서울특별시 광진구  자양동 227-7 ,2024-07-02,아차산로,더샵스타시티,139.6,46
30,1380000000,1989,서울특별시 광진구  자양동 516 ,2024-07-03,뚝섬로35길,우성3,84.91,9
31,1330000000,1999,서울특별시 광진구  자양동 787 ,2024-07-04,자양번영로3길,자양삼성,84.96,17
32,1370000000,2017,서울특별시 광진구  자양동 859 ,2024-07-04,아차산로,래미안프리미어팰리스,84.92,11
33,1590000000,2002,서울특별시 광진구  자양동 789 ,2024-07-04,뚝섬로36길,자양8차현대홈타운,108.43,5
34,1420000000,1998,서울특별시 광진구  자양동 783-1 ,2024-07-05,아차산로36길,자양우성7,84.93,12
35,845000000,1999,서울특별시 광진구  자양동 784-1 ,2024-07-06,뚝섬로31길,대동,59.54,8
36,895000000,1989,서울특별시 광진구  자양동 520-2 ,2024-07-06,뚝섬로,우성2,51.57,11
37,1095000000,1988,서울특별시 광진구  자양동 579 ,2024-07-08,뚝섬로,우성1,79.75,5
38,955000000,1999,서울특별시 광진구  자양동 784-1 ,2024-07-09,뚝섬로31길,대동,59.54,8
39,900000000,2021,서울특별시 광진구  자양동 861 ,2024-07-09,능동로,자양호반써밋,40.28,19
40,857500000,1989,서울특별시 광진구  자양동 520-2 ,2024-07-10,뚝섬로,우성2,64.79,1
41,1030000000,1999,서울특별시 광진구  자양동 787 ,2024-07-11,자양번영로3길,자양삼성,59.76,10
42,2330000000,1983,서울특별시 광진구  자양동 695 ,2024-07-13,구의강변로,한양,157.87,11
43,950000000,1999,서울특별시 광진구  자양동 784-1 ,2024-07-15,뚝섬로31길,대동,59.54,10
44,139000000,2014,서울특별시 광진구  화양동 113-1 ,2024-07-01,능동로19길,광진코지웰,15.63,8
45,130000000,2014,서울특별시 광진구  화양동 113-1 ,2024-07-01,능동로19길,광진코지웰,15.63,8
46,400000000,2021,서울특별시 광진구  화양동 111-89 ,2024-07-08,광나루로20길,위너스힐(111-89),27.2,7
47,1470000000,2008,서울특별시 종로구  사직동 9 ,2024-07-01,사직로8길,광화문스페이스본(101동~105동),94.51,11
48,450000000,2003,서울특별시 종로구  익선동 55 ,2024-07-08,돈화문로11가길,현대뜨레비앙,48.54,5
49,1150000000,1995,서울특별시 종로구  명륜2가 4 ,2024-07-01,창경궁로,아남1,84.9,6
50,710000000,1993,서울특별시 종로구  창신동 703 ,2024-07-02,낙산길,창신쌍용2,79.87,15
51,558000000,1993,서울특별시 종로구  창신동 703 ,2024-07-05,낙산길,창신쌍용2,54.7,1
52,570000000,1979,서울특별시 종로구  숭인동 204-11 ,2024-07-01,청계천로,숭인상가,80.85,6
53,820000000,2008,서울특별시 종로구  숭인동 2-1 ,2024-07-03,동망산길,종로센트레빌,59.92,11
54,820000000,2008,서울특별시 종로구  숭인동 2-1 ,2024-07-03,동망산길,종로센트레빌,59.92,11
55,1010000000,2009,서울특별시 종로구  숭인동 766 ,2024-07-06,숭인동길,종로청계힐스테이트,84.95,19
56,980000000,2009,서울특별시 종로구  숭인동 766 ,2024-07-11,숭인동길,종로청계힐스테이트,84.95,3
57,1200000000,2004,서울특별시 종로구  숭인동 76 ,2024-07-12,종로,롯데캐슬천지인,111.73,4
58,1660000000,2017,서울특별시 종로구  평동 233 ,2024-07-12,경교장길,경희궁자이(3단지),59.85,16
59,1970000000,2017,서울특별시 종로구  평동 233 ,2024-07-13,경교장길,경희궁자이(3단지),84.84,2
60,2540000000,2017,서울특별시 종로구  홍파동 199 ,2024-07-01,송월길,경희궁자이(2단지),101.9,6
61,2200000000,2017,서울특별시 종로구  홍파동 199 ,2024-07-02,송월길,경희궁자이(2단지),84.84,10
62,3000000000,2017,서울특별시 종로구  홍파동 199 ,2024-07-12,송월길,경희궁자이(2단지),116.99,9
63,1185000000,2008,서울특별시 종로구  무악동 60 ,2024-07-03,통일로18길,인왕산아이파크,84.86,3
64,1375000000,2008,서울특별시 종로구  무악동 60 ,2024-07-13,통일로18길,인왕산아이파크,84.86,13
65,1200000000,2008,서울특별시 종로구  무악동 60 ,2024-07-13,통일로18길,인왕산아이파크,84.86,3
66,514000000,1981,서울특별시 중구  묵정동 11-67 ,2024-07-01,서애로1길,묵정,52.46,7
67,925000000,1999,서울특별시 중구  신당동 843 ,2024-07-01,청구로1길,삼성,59.98,5
68,1365000000,1999,서울특별시 중구  신당동 842 ,2024-07-01,동호로10길,약수하이츠,114.92,10
69,900000000,1999,서울특별시 중구  신당동 842 ,2024-07-02,동호로10길,약수하이츠,57.63,3
70,1500000000,2011,서울특별시 중구  신당동 852 ,2024-07-02,청구로,청구e편한세상,84.95,12
71,1050000000,2019,서울특별시 중구  신당동 856 ,2024-07-03,난계로,신당KCC스위첸,59.45,8
72,1200000000,2011,서울특별시 중구  신당동 851 ,2024-07-04,퇴계로90길,래미안하이베르,84.85,6
73,1220000000,2011,서울특별시 중구  신당동 851 ,2024-07-05,퇴계로90길,래미안하이베르,84.97,10
74,1090000000,2011,서울특별시 중구  신당동 851 ,2024-07-05,퇴계로90길,래미안하이베르,59.74,15
75,1030000000,2002,서울특별시 중구  신당동 844 ,2024-07-06,다산로,남산타운,59.94,13
76,1085000000,2011,서울특별시 중구  신당동 851 ,2024-07-06,퇴계로90길,래미안하이베르,59.95,7
77,1100000000,2011,서울특별시 중구  신당동 851 ,2024-07-06,퇴계로90길,래미안하이베르,84.97,1
78,1180000000,2011,서울특별시 중구  신당동 851 ,2024-07-06,퇴계로90길,래미안하이베르,84.85,4
79,975000000,1999,서울특별시 중구  신당동 842 ,2024-07-06,동호로10길,약수하이츠,57.63,12
80,1250000000,1999,서울특별시 중구  신당동 842 ,2024-07-06,동호로10길,약수하이츠,84.88,7
81,1120000000,2011,서울특별시 중구  신당동 851 ,2024-07-07,퇴계로90길,래미안하이베르,59.74,11
82,890000000,2000,서울특별시 중구  신당동 846 ,2024-07-08,다산로42나길,신당동파라다이스,84.77,11
83,1190000000,2004,서울특별시 중구  신당동 849 ,2024-07-08,다산로42가길,삼성홈타운,104.98,12
84,760000000,2002,서울특별시 중구  신당동 333-9 ,2024-07-10,청구로3길,성지,84.37,3
85,1400000000,2011,서울특별시 중구  신당동 852 ,2024-07-10,청구로,청구e편한세상,84.95,6
86,840000000,2000,서울특별시 중구  신당동 846 ,2024-07-11,다산로42나길,신당동파라다이스,84.77,10
87,1200000000,2019,서울특별시 중구  신당동 856 ,2024-07-18,난계로,신당KCC스위첸,84.91,1
